Sample Name	scheme	ST	QC_Pass	Exclude (non/duplicate sample)	Final_subset	Bird_Gross_Necropsy_ID	Plate Label - Site of isolation	collection_date	collection_year	Bird_Age	Farms_ID	Flock_ID
FH110	ecoli	355	PASS	Include	No	264	LIVER	24/5/16	2016	5	3	19
FH118	senterica	-	FAIL	Include	No	267	RFH	24/5/16	2016	5	3	19
FH123	senterica	-	FAIL	Include	No	274	LTT	24/5/16	2016	5	3	19
FH129	cfreundii	-	FAIL	Include	No	358	RFH	24/5/16	2016	5	3	19
FH131	ecoli	101	FAIL	Include	No	360	LIVER	24/5/16	2016	5	3	19
FH135	ecoli	93	PASS	Include	No	362	YS	24/5/16	2016	5	3	19
FH111	ecoli	355	PASS	Include	Yes	264	LFH	24/5/16	2016	5	3	19
FH113	ecoli	355	PASS	Include	No	264	LTT	24/5/16	2016	5	3	19
FH112	ecoli	355	PASS	Include	No	264	RFH	24/5/16	2016	5	3	19
FH114	ecoli	117	PASS	Include	Yes	266	LFH	24/5/16	2016	5	3	19
FH143	ecoli	69	PASS	Include	No	364	PERICARDIUM	24/5/16	2016	5	3	19
FH144	ecoli	69	PASS	Include	No	364	LIVER	24/5/16	2016	5	3	19
FH115	ecoli	117	PASS	Include	No	266	LTT	24/5/16	2016	5	3	19
FH117	ecoli	117	PASS	Include	No	266	RFH	24/5/16	2016	5	3	19
FH116	ecoli	117	PASS	Include	No	266	RTT	24/5/16	2016	5	3	19
FH120	ecoli	69	PASS	Include	Yes	267	LFH	24/5/16	2016	5	3	19
FH121	ecoli	69	PASS	Include	No	267	LTT	24/5/16	2016	5	3	19
FH124	ecoli	93	PASS	Include	Yes	274	LFH	24/5/16	2016	5	3	19
FH125	ecoli	10	PASS	Include	Yes	274	RFH	24/5/16	2016	5	3	19
FH122	ecoli	93	PASS	Include	No	274	RTT	24/5/16	2016	5	3	19
FH132	ecoli	95	PASS	Include	Yes	358	LFH	24/5/16	2016	5	3	19
FH126	ecoli	95	PASS	Include	No	358	LTT	24/5/16	2016	5	3	19
FH128	ecoli	95	PASS	Include	No	358	RTT	24/5/16	2016	5	3	19
FH130	ecoli	803	PASS	Include	Yes	359	RTT	24/5/16	2016	5	3	19
FH134	ecoli	355	PASS	Include	Yes	360	LFH	24/5/16	2016	5	3	19
FH133	ecoli	355	PASS	Include	No	360	LTT	24/5/16	2016	5	3	19
FH138	ecoli	95	PASS	Include	Yes	362	LFH	24/5/16	2016	5	3	19
FH136	ecoli	95	PASS	Include	No	362	LTT	24/5/16	2016	5	3	19
FH137	ecoli	95	PASS	Include	No	362	RFH	24/5/16	2016	5	3	19
FH127	ecoli	95	PASS	Include	No	362	RTT	24/5/16	2016	5	3	19
FH140	ecoli	69	PASS	Include	Yes	363	LFH	24/5/16	2016	5	3	19
FH139	ecoli	69	PASS	Include	No	363	LTT	24/5/16	2016	5	3	19
FH141	ecoli	69	PASS	Include	No	363	RFH	24/5/16	2016	5	3	19
FH142	ecoli	69	PASS	Include	No	363	RTT	24/5/16	2016	5	3	19
FH146	ecoli	69	PASS	Include	Yes	364	LFH	24/5/16	2016	5	3	19
FH148	ecoli	69	PASS	Include	No	364	LTT	24/5/16	2016	5	3	19
FH147	ecoli	69	PASS	Include	No	364	RFH	24/5/16	2016	5	3	19
FH145	ecoli	69	PASS	Include	No	364	RTT	24/5/16	2016	5	3	19
FH150	ecoli	155	PASS	Include	Yes	368	LFH	24/5/16	2016	5	3	19
FH119	ecoli	155	PASS	Include	No	368	LTT	24/5/16	2016	5	3	19
FH149	ecoli	155	PASS	Include	No	368	RTT	24/5/16	2016	5	3	19
FH86	ecoli	-	FAIL	Include	No	332	RFH	24/5/15	2015	7	22	25
FH87	ecoli	117	PASS	Include	No	329	YS	24/5/15	2015	7	22	25
FH88	ecoli	95	PASS	Include	No	334	YS	24/5/15	2015	7	22	25
FH97	ecoli	95	PASS	Include	No	337	LIVER	24/5/15	2015	7	22	25
FH82	ecoli	95	PASS	Include	Yes	329	LFH	24/5/15	2015	7	22	25
FH81	ecoli	95	PASS	Include	No	329	LTT	24/5/15	2015	7	22	25
FH79	ecoli	95	PASS	Include	No	329	RFH	24/5/15	2015	7	22	25
FH80	ecoli	95	PASS	Include	No	329	RTT	24/5/15	2015	7	22	25
FH84	ecoli	752	PASS	Include	Yes	332	LFH	24/5/15	2015	7	22	25
FH83	ecoli	752	PASS	Include	No	332	LTT	24/5/15	2015	7	22	25
FH85	ecoli	752	PASS	Include	No	332	RTT	24/5/15	2015	7	22	25
FH92	ecoli	95	PASS	Include	Yes	334	LFH	24/5/15	2015	7	22	25
FH91	ecoli	95	PASS	Include	No	334	LTT	24/5/15	2015	7	22	25
FH90	ecoli	95	PASS	Include	No	334	RFH	24/5/15	2015	7	22	25
FH89	ecoli	95	PASS	Include	No	334	RTT	24/5/15	2015	7	22	25
FH95	ecoli	95	PASS	Include	Yes	335	LFH	24/5/15	2015	7	22	25
FH96	ecoli	95	PASS	Include	No	335	LTT	24/5/15	2015	7	22	25
FH93	ecoli	95	PASS	Include	No	335	RFH	24/5/15	2015	7	22	25
FH94	ecoli	95	PASS	Include	No	335	RTT	24/5/15	2015	7	22	25
FH101	ecoli	95	PASS	Include	Yes	337	LFH	24/5/15	2015	7	22	25
FH98	ecoli	95	PASS	Include	No	337	LTT	24/5/15	2015	7	22	25
FH99	ecoli	95	PASS	Include	No	337	RFH	24/5/15	2015	7	22	25
FH100	ecoli	95	PASS	Include	No	337	RTT	24/5/15	2015	7	22	25
FH105	ecoli	95	PASS	Include	Yes	339	LFH	24/5/15	2015	7	22	25
FH104	ecoli	95	PASS	Include	No	339	LTT	24/5/15	2015	7	22	25
FH103	ecoli	95	PASS	Include	No	339	RFH	24/5/15	2015	7	22	25
FH102	ecoli	95	PASS	Include	No	339	RTT	24/5/15	2015	7	22	25
FH108	ecoli	95	PASS	Include	Yes	343	LFH	24/5/15	2015	7	22	25
FH109	ecoli	95	PASS	Include	No	343	LTT	24/5/15	2015	7	22	25
FH107	ecoli	95	PASS	Include	No	343	RFH	24/5/15	2015	7	22	25
FH106	ecoli	117	PASS	Include	Yes	343	RTT	24/5/15	2015	7	22	25
FH78	ecoli	95	PASS	Include	Yes	88	RFHSF	11/8/16	2016	28	9	11
FH44	ecoli	57	PASS	Include	Yes	31	LFH	18/7/16	2016	13	4	6
FH43	ecoli	57	PASS	Include	No	31	LTT	18/7/16	2016	13	4	6
FH41	ecoli	57	PASS	Include	No	31	RFH	18/7/16	2016	13	4	6
FH46	ecoli	57	PASS	Include	No	31	RHSF	18/7/16	2016	13	4	6
FH42	ecoli	57	PASS	Include	No	31	RTT	18/7/16	2016	13	4	6
FH50	ecoli	57	PASS	Include	Yes	32	RFH	18/7/16	2016	13	4	6
FH49	ecoli	57	PASS	Include	No	32	RTT	18/7/16	2016	13	4	6
FH48	ecoli	10	PASS	Include	Yes	37	LFH	18/7/16	2016	13	4	6
FH45	ecoli	57	PASS	Include	No	31	PERITONITIS	18/7/16	2016	13	4	6
FH47	ecoli	57	PASS	Include	No	31	LIVER	18/7/16	2016	13	4	6
FH36	ecoli	101	PASS	Include	Yes	55	RHJF	1/8/16	2016	NA	NA	NA
FH39	ecoli	95	PASS	Include	Yes	59	LFH	1/8/16	2016	38	7	9
FH38	ecoli	95	PASS	Include	No	59	RFH	1/8/16	2016	38	7	9
FH37	ecoli	95	PASS	Include	No	59	RFHJF	1/8/16	2016	38	7	9
FH40	ecoli	665	PASS	Include	Yes	60	LTTJF	1/8/16	2016	NA	NA	NA
FH186	ecoli	117	PASS	Include	Yes	117	LFH	1/9/16	2016	6	12	14
FH181	ecoli	117	PASS	Include	No	117	LTT	1/9/16	2016	6	12	14
FH182	ecoli	117	PASS	Include	No	117	RFH	1/9/16	2016	6	12	14
FH184	ecoli	117	PASS	Include	No	117	RHSF	1/9/16	2016	6	12	14
FH185	ecoli	117	PASS	Include	No	117	RTT	1/9/16	2016	6	12	14
FH177	ecoli	135	PASS	Include	Yes	121	LTT	1/9/16	2016	NA	NA	NA
